시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
동두천시,2017,자전거사고다발지,6413428,2018032,4125010200,41250001,경기도 동두천시1,경기도 동두천시 지행동(지행역 부근),5,5,0,2,2,1,37.89251162,127.0551666,"{""type"":""Polygon"",""coordinates"":[[[127.05696322,37.89251162],[127.0569287,37.89223501],[127.05682646,37.89196903],[127.05666043,37.89172391],[127.056437,37.89150905],[127.05616474,37.89133272],[127.05585413,37.8912017],[127.05551709,37.89112101],[127.05516659,37.89109377],[127.05481608,37.89112101],[127.05447905,37.8912017],[127.05416843,37.89133272],[127.05389618,37.89150905],[127.05367274,37.89172391],[127.05350672,37.89196903],[127.05340448,37.89223501],[127.05336996,37.89251162],[127.05340448,37.89278822],[127.05350672,37.8930542],[127.05367274,37.89329932],[127.05389618,37.89351417],[127.05416843,37.8936905],[127.05447905,37.89382152],[127.05481608,37.8939022],[127.05516659,37.89392944],[127.05551709,37.8939022],[127.05585413,37.89382152],[127.05616474,37.8936905],[127.056437,37.89351417],[127.05666043,37.89329932],[127.05682646,37.8930542],[127.0569287,37.89278822],[127.05696322,37.89251162]]]}"
동두천시,2016,보행노인사고다발지,6250556,2017029,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(어수사거리 부근),4,4,0,4,0,0,37.90149331,127.0529028,"{""type"":""Polygon"",""coordinates"":[[[127.05469941,37.90149331],[127.05466489,37.90121674],[127.05456265,37.90095079],[127.05439662,37.90070569],[127.05417319,37.90049086],[127.05390093,37.90031456],[127.05359032,37.90018355],[127.05325329,37.90010287],[127.05290278,37.90007563],[127.05255228,37.90010287],[127.05221524,37.90018355],[127.05190463,37.90031456],[127.05163237,37.90049086],[127.05140894,37.90070569],[127.05124291,37.90095079],[127.05114067,37.90121674],[127.05110615,37.90149331],[127.05114067,37.90176988],[127.05124291,37.90203582],[127.05140894,37.90228092],[127.05163237,37.90249574],[127.05190463,37.90267204],[127.05221524,37.90280305],[127.05255228,37.90288372],[127.05290278,37.90291096],[127.05325329,37.90288372],[127.05359032,37.90280305],[127.05390093,37.90267204],[127.05417319,37.90249574],[127.05439662,37.90228092],[127.05456265,37.90203582],[127.05466489,37.90176988],[127.05469941,37.90149331]]]}"
동두천시,2015,무단횡단사고다발지,6223090,2016152,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(연보라렌트카 부근),3,3,2,1,0,0,37.89908549,127.0567901,"{""type"":""Polygon"",""coordinates"":[[[127.05948509,37.89908549],[127.05943331,37.89867062],[127.05927995,37.89827169],[127.05903091,37.89790403],[127.05869576,37.89758177],[127.05828738,37.8973173],[127.05782146,37.89712078],[127.05731591,37.89699976],[127.05679015,37.8969589],[127.05626439,37.89699976],[127.05575884,37.89712078],[127.05529292,37.8973173],[127.05488453,37.89758177],[127.05454938,37.89790403],[127.05430034,37.89827169],[127.05414698,37.89867062],[127.0540952,37.89908549],[127.05414698,37.89950036],[127.05430034,37.89989929],[127.05454938,37.90026694],[127.05488453,37.90058919],[127.05529292,37.90085365],[127.05575884,37.90105016],[127.05626439,37.90117117],[127.05679015,37.90121203],[127.05731591,37.90117117],[127.05782146,37.90105016],[127.05828738,37.90085365],[127.05869576,37.90058919],[127.05903091,37.90026694],[127.05927995,37.89989929],[127.05943331,37.89950036],[127.05948509,37.89908549]]]}"
동두천시,2015,자전거사고다발지,6223393,2016147,4125010200,41250001,경기도 동두천시1,경기도 동두천시 지행동((지행역앞) 부근),6,6,0,1,4,1,37.89250019,127.0552488,"{""type"":""Polygon"",""coordinates"":[[[127.05704539,37.89250019],[127.05701087,37.89222359],[127.05690863,37.89195761],[127.0567426,37.89171248],[127.05651917,37.89149762],[127.05624691,37.89132129],[127.0559363,37.89119027],[127.05559926,37.89110959],[127.05524876,37.89108234],[127.05489825,37.89110959],[127.05456122,37.89119027],[127.0542506,37.89132129],[127.05397835,37.89149762],[127.05375491,37.89171248],[127.05358889,37.89195761],[127.05348665,37.89222359],[127.05345213,37.89250019],[127.05348665,37.8927768],[127.05358889,37.89304277],[127.05375491,37.8932879],[127.05397835,37.89350275],[127.0542506,37.89367907],[127.05456122,37.89381009],[127.05489825,37.89389077],[127.05524876,37.89391802],[127.05559926,37.89389077],[127.0559363,37.89381009],[127.05624691,37.89367907],[127.05651917,37.89350275],[127.0567426,37.8932879],[127.05690863,37.89304277],[127.05701087,37.8927768],[127.05704539,37.89250019]]]}"
동두천시,2014,보행노인사고다발지,6097788,2015048,4125010300,41250003,경기도 동두천시3,경기도 동두천시 생연동(KTF믿음정보통신 부근),3,3,0,2,0,1,37.90110893,127.0579951,"{""type"":""Polygon"",""coordinates"":[[[127.0596031,37.902383],[127.0592585,37.9026071],[127.0588653,37.9027737],[127.0584387,37.9028762],[127.0579951,37.9029108],[127.0575514,37.9028762],[127.0571248,37.9027737],[127.0567317,37.9026071],[127.0563871,37.902383],[127.0561043,37.90211],[127.0558942,37.9017985],[127.0557648,37.9014604],[127.0557211,37.9011089],[127.0557648,37.9007574],[127.0558942,37.9004194],[127.0561043,37.9001078],[127.0563871,37.8998348],[127.0567317,37.8996107],[127.0571249,37.8994442],[127.0575515,37.8993417],[127.0579951,37.899307],[127.0584387,37.8993417],[127.0588653,37.8994442],[127.0592584,37.8996107],[127.059603,37.8998348],[127.0598858,37.9001078],[127.060096,37.9004194],[127.0602254,37.9007574],[127.0602691,37.9011089],[127.0602254,37.9014604],[127.060096,37.9017985],[127.0598859,37.90211],[127.0596031,37.902383]]]}"
동두천시,2014,보행노인사고다발지,6098009,2015048,4125010900,41250002,경기도 동두천시2,경기도 동두천시 상봉암동(농협소요산지소 부근),3,3,0,2,1,0,37.94758434,127.0616435,"{""type"":""Polygon"",""coordinates"":[[[127.0632525,37.9488584],[127.0629077,37.9490825],[127.0625143,37.9492491],[127.0620874,37.9493516],[127.0616435,37.9493862],[127.0611996,37.9493516],[127.0607727,37.9492491],[127.0603793,37.9490825],[127.0600345,37.9488584],[127.0597515,37.9485854],[127.0595412,37.9482739],[127.0594118,37.9479358],[127.059368,37.9475843],[127.0594118,37.9472328],[127.0595413,37.9468948],[127.0597516,37.9465833],[127.0600345,37.9463102],[127.0603793,37.9460861],[127.0607727,37.9459196],[127.0611996,37.9458171],[127.0616435,37.9457825],[127.0620874,37.9458171],[127.0625142,37.9459196],[127.0629076,37.9460861],[127.0632524,37.9463102],[127.0635354,37.9465833],[127.0637457,37.9468948],[127.0638752,37.9472328],[127.0639189,37.9475843],[127.0638752,37.9479358],[127.0637457,37.9482739],[127.0635355,37.9485854],[127.0632525,37.9488584]]]}"
동두천시,2014,보행노인사고다발지,6100001,2015048,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(가위와 빗 부근),8,8,0,5,3,0,37.90159922,127.0523862,"{""type"":""Polygon"",""coordinates"":[[[127.0539942,37.9028733],[127.0536496,37.9030974],[127.0532564,37.9032639],[127.0528298,37.9033665],[127.0523862,37.9034011],[127.0519425,37.9033665],[127.0515159,37.9032639],[127.0511228,37.9030974],[127.0507782,37.9028733],[127.0504954,37.9026003],[127.0502852,37.9022888],[127.0501558,37.9019507],[127.0501122,37.9015992],[127.0501559,37.9012477],[127.0502853,37.9009096],[127.0504954,37.9005981],[127.0507782,37.9003251],[127.0511228,37.900101],[127.051516,37.8999345],[127.0519426,37.899832],[127.0523862,37.8997973],[127.0528298,37.899832],[127.0532564,37.8999345],[127.0536495,37.900101],[127.0539941,37.9003251],[127.0542769,37.9005981],[127.0544871,37.9009096],[127.0546165,37.9012477],[127.0546602,37.9015992],[127.0546165,37.9019507],[127.0544871,37.9022888],[127.054277,37.9026003],[127.0539942,37.9028733]]]}"
동두천시,2013,무단횡단사고다발지,220229,2014117,4125010300,411353001,경기 동두천1,경기도 동두천시 생연동(두부마당 부근),3,3,2,1,0,0,37.89908549,127.0567901,"{""type"":""Polygon"",""coordinates"":[[[127.0592021,37.9009967],[127.0587951,37.9012721],[127.0583387,37.9014937],[127.0578442,37.901656],[127.0573238,37.901755],[127.0567901,37.9017883],[127.0562565,37.901755],[127.0557361,37.901656],[127.0552416,37.9014937],[127.0547852,37.9012721],[127.0543782,37.9009967],[127.0540306,37.9006741],[127.0537509,37.9003125],[127.0535461,37.8999207],[127.0534212,37.8995083],[127.0533792,37.8990854],[127.0534212,37.8986626],[127.0535462,37.8982502],[127.053751,37.8978584],[127.0540307,37.8974968],[127.0543783,37.8971743],[127.0547853,37.8968988],[127.0552417,37.8966772],[127.0557362,37.8965149],[127.0562566,37.8964159],[127.0567901,37.8963827],[127.0573237,37.8964159],[127.0578441,37.8965149],[127.0583386,37.8966772],[127.058795,37.8968988],[127.059202,37.8971743],[127.0595496,37.8974968],[127.0598293,37.8978584],[127.0600341,37.8982502],[127.0601591,37.8986626],[127.0602011,37.8990854],[127.0601591,37.8995083],[127.0600342,37.8999207],[127.0598294,37.9003125],[127.0595497,37.9006741],[127.0592021,37.9009967]]]}"
동두천시,2013,자전거사고다발지,5374826,2014109,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(호동식품 부근),5,5,0,2,2,1,37.90284801,127.0578823,"{""type"":""Polygon"",""coordinates"":[[[127.0594903,37.9041221],[127.0591457,37.9043462],[127.0587526,37.9045127],[127.058326,37.9046153],[127.0578823,37.9046499],[127.0574387,37.9046153],[127.057012,37.9045127],[127.0566189,37.9043462],[127.0562743,37.9041221],[127.0559915,37.9038491],[127.0557813,37.9035375],[127.0556519,37.9031995],[127.0556082,37.902848],[127.055652,37.9024965],[127.0557814,37.9021584],[127.0559915,37.9018469],[127.0562743,37.9015739],[127.0566189,37.9013498],[127.0570121,37.9011833],[127.0574387,37.9010807],[127.0578823,37.9010461],[127.058326,37.9010807],[127.0587525,37.9011833],[127.0591457,37.9013498],[127.0594903,37.9015739],[127.0597731,37.9018469],[127.0599833,37.9021584],[127.0601127,37.9024965],[127.0601564,37.902848],[127.0601127,37.9031995],[127.0599833,37.9035375],[127.0597732,37.9038491],[127.0594903,37.9041221]]]}"
동두천시,2012,무단횡단사고다발지,167268,2013114,4125010300,411353001,경기 동두천1,경기도 동두천시 생연동(가나서점외 부근),4,4,0,2,2,0,37.90888366,127.0570726,"{""type"":""Polygon"",""coordinates"":[[[127.0594849,37.9107948],[127.0590779,37.9110703],[127.0586214,37.9112919],[127.0581269,37.9114542],[127.0576063,37.9115532],[127.0570726,37.9115865],[127.056539,37.9115532],[127.0560184,37.9114542],[127.0555239,37.9112919],[127.0550674,37.9110703],[127.0546604,37.9107948],[127.0543127,37.9104723],[127.054033,37.9101107],[127.0538282,37.9097188],[127.0537033,37.9093064],[127.0536613,37.9088836],[127.0537033,37.9084608],[127.0538283,37.9080484],[127.0540331,37.9076566],[127.0543128,37.9072949],[127.0546605,37.9069724],[127.0550676,37.906697],[127.055524,37.9064754],[127.0560185,37.9063131],[127.056539,37.9062141],[127.0570726,37.9061808],[127.0576063,37.9062141],[127.0581268,37.9063131],[127.0586213,37.9064754],[127.0590777,37.906697],[127.0594848,37.9069724],[127.0598325,37.9072949],[127.0601122,37.9076566],[127.060317,37.9080484],[127.060442,37.9084608],[127.060484,37.9088836],[127.060442,37.9093064],[127.0603171,37.9097188],[127.0601123,37.9101107],[127.0598326,37.9104723],[127.0594849,37.9107948]]]}"
